"country","founded","id","industry","linkedin_url","locality","name","region","size","website"
"united states","2020","san-lorenzo-valley-post","newspapers","linkedin.com/company/san-lorenzo-valley-post","santa cruz","san lorenzo valley post","california","1-10","slvpost.com"
"united states","2020","current-affairs-times","newspapers","linkedin.com/company/current-affairs-times","jersey city","current affairs times","new jersey","1-10","currentaffairstimes.com"
"france","2020","france-messagerie","newspapers","linkedin.com/company/france-messagerie","paris","france messagerie","ile-de-france","201-500","francemessagerie.fr"
"france","2020","ourscom","newspapers","linkedin.com/company/ourscom","lyon","our(s) - le média de la communication","auvergne-rhône-alpes","1-10","ourscom.fr"
"brazil","2020","real-time-1","newspapers","linkedin.com/company/real-time-1","","real time 1","","11-50","realtime1.com.br"
"india","2020","info-online","newspapers","linkedin.com/company/info-online","new delhi","info online","delhi","1-10","infonline.co"
"united states","2020","metal-tech-news","newspapers","linkedin.com/company/metal-tech-news","eagle river","metal tech news","alaska","1-10","metaltechnews.com"
"germany","2020","russland-aufwärts","newspapers","linkedin.com/company/russland-aufwärts","stuttgart","russland : aufwärts","baden-wurttemberg","1-10","facebook.com/russlandaufwaerts"
"united states","2020","bulletnews","newspapers","linkedin.com/company/bulletnews","san diego","bullet news","california","11-50","bulletnews.net"
"brazil","2020","turislab","newspapers","linkedin.com/company/turislab","","turislab","sao paulo","1-10","turislab.com.br"
"france","2020","revue-natives","newspapers","linkedin.com/company/revue-natives","muret","revue natives","occitanie","1-10","revue-natives.com"
"united kingdom","2020","the-heatons-post","newspapers","linkedin.com/company/the-heatons-post","stockport","the heatons post","stockport","1-10","heatonspost.co.uk"
"india","2020","news-bell-new-media-technology-pvt-ltd","newspapers","linkedin.com/company/news-bell-new-media-technology-pvt-ltd","bengaluru","news bell new media technology pvt. ltd.","karnataka","1-10","newsbell.in"
"","2020","100-oportuniddes","newspapers","linkedin.com/company/100-oportuniddes","","100 oportuniddes","","1-10","cemoportunidades.pt"
"switzerland","2020","akutmag","newspapers","linkedin.com/company/akutmag","zurich","akut mag","zurich","1-10","akutmag.ch"
"united states","2020","buttonwood-tree","newspapers","linkedin.com/company/buttonwood-tree","los angeles","buttonwood tree","california","1-10","buttonwoodtree.net"
"","2020","the-lagos-today","newspapers","linkedin.com/company/the-lagos-today","","the lagos today","","11-50","thelagostoday.com"
"united states","2020","essexretorter","newspapers","linkedin.com/company/essexretorter","","the essex retorter","vermont","1-10","essexretorter.com"
"australia","2020","nt-independent","newspapers","linkedin.com/company/nt-independent","","nt independent","","1-10","ntindependent.com.au"
"brazil","2020","o-jornal-analítico","newspapers","linkedin.com/company/o-jornal-analítico","","o jornal analítico","","1-10","ojornalanalitico.com"
"pakistan","2020","أخبار-العالم","newspapers","linkedin.com/company/أخبار-العالم","islamabad","أخبار العالم","islamabad","201-500","arabznews.com"
"brazil","2020","tribunadodf","newspapers","linkedin.com/company/tribunadodf","","tribuna do df","","1-10","tribunadodf.com.br"
"","2020","brussels-morning-newspaper","newspapers","linkedin.com/company/brussels-morning-newspaper","","brussels morning newspaper","","11-50","brusselsmorning.com"
"pakistan","2020","bemainstream","newspapers","linkedin.com/company/bemainstream","karachi","mainstream","sindh","1-10","bemainstream.com"
"","2020","the-student-lens","newspapers","linkedin.com/company/the-student-lens","","the student lens","","11-50","thestudentlens.com"
"vietnam","2020","cau-lac-bo-vip","newspapers","linkedin.com/company/cau-lac-bo-vip","ho chi minh city","câu lạc bộ vip","ho chi minh city","11-50","caulacbo.vip"
"india","2020","utkaltoday","newspapers","linkedin.com/company/utkaltoday","","utkal today","odisha","1-10","utkaltoday.com"
"lebanon","2020","the-phoenix-daily","newspapers","linkedin.com/company/the-phoenix-daily","beirut","the phoenix daily","beyrouth","51-200","thephoenixdaily.net"
"saudi arabia","2020","almahak-news","newspapers","linkedin.com/company/almahak-news","","almahak news","","11-50",""
"india","2020","fortifygen","newspapers","linkedin.com/company/fortifygen","","fortifygen","haryana","11-50","fortifygen.co.in"
"","2020","southern-highlands-express","newspapers","linkedin.com/company/southern-highlands-express","","southern highlands express","","1-10","latte.life"
"united kingdom","2020","ingena-insight","newspapers","linkedin.com/company/ingena-insight","london","ingena","greater london","11-50","ingena.co.uk"
"united states","2020","news-product-alliance","newspapers","linkedin.com/company/news-product-alliance","new york","news product alliance","new york","1-10","newsproduct.org"
"india","2020","times-of-republic","newspapers","linkedin.com/company/times-of-republic","mumbai","republic times","maharashtra","1-10","timesofrepublic.com"
"brazil","2020","informativodendicasa","newspapers","linkedin.com/company/informativodendicasa","","informativo dendicasa","bahia","1-10",""
"united states","2020","edmondbusinessonline","newspapers","linkedin.com/company/edmondbusinessonline","edmond","edmond business","oklahoma","1-10","edmondbusiness.com"
"united kingdom","2020","the-desk-newsletter","newspapers","linkedin.com/company/the-desk-newsletter","london","the desk","london","1-10",""
"","2020","route64-le-mag","newspapers","linkedin.com/company/route64-le-mag","","route64 le mag","","1-10",""
"united arab emirates","2020","almkal","newspapers","linkedin.com/company/almkal","","جريدة المقال","dubai","1-10","almkal.com"
"united kingdom","2020","the-oxford-blue-newspaper","newspapers","linkedin.com/company/the-oxford-blue-newspaper","oxford","the oxford blue","oxfordshire","51-200","theoxfordblue.co.uk"
